seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
2523;CICONIIFORMES;Ciconiidae;Anastomus oscitans;Asian Openbill;bec de tenalla asiàtic;钳嘴鹳;鉗嘴鸛;otvorenokljuna roda;zejozob asijský;Asiatisk Gabenæb;Indische Gaper;azia fendobekulo;aasianrakonokka;Bec-ouvert indien;Silberklaffschnabel;Anastomo asiatico;スキハシコウ;indinis kiaurasnapis gandras;asiagapenebb;kleszczak azjatycki;bico-aberto-indiano;cegonha-de-bico-aberto-asiática;Индийский аист-разиня;Azijska šupljokljuna roda;škározobec driemavý;Picotenaza asiático;asiatisk gapnäbbsstork;Ak Açıkgaga;лелека-молюскоїд індійський;;;;Азиатски цепкоклюн щъркел;valge-irvnokk;Bec-ouvert indien;;;ázsiai tátogató gólya;;;;;;ചേരാക്കൊക്കൻ;;;;;นกปากห่าง
2524;CICONIIFORMES;Ciconiidae;Leptoptilos crumenifer;Marabou Stork;marabú africà;非洲秃鹳;非洲禿鸛;afrički marabu;marabu africký;Marabustork;Afrikaanse Maraboe;afrika marabuo;afrikanmarabu;Marabout d’Afrique;Marabu;Marabù;アフリカハゲコウ;afrikinis marabu;marabustork;marabut afrykański;marabu-africano;marabu-africano;Африканский марабу;Afrički marabu;marabu zdochlinár;Marabú africano;maraboustork;Marabu;марабу африканський;Maraboe;لقلق أبو سعن;;Марабу;marabu;Marabout d'Afrique;;מרבו;afrikai marabu;Hræstorkur;;;marabū;;;Marabuháigir;;;marabu;
2525;CICONIIFORMES;Ciconiidae;Leptoptilos javanicus;Lesser Adjutant;marabú collgroc;秃鹳;小禿鸛;mali marabu;marabu malajský;Lille Adjudant;Javaanse Maraboe;eta marabuo;pikkumarabu;Marabout chevelu;Sundamarabu;Marabù asiatico minore;コハゲコウ;javinis marabu;småadjutant;marabut jawajski;marabu-pequeno;marabu-pequeno;Зондский марабу;Javanski marabu;marabu malý;Marabú menor;mindre adjutantstork;Küçük Marabu;марабу яванський;;;;Плешив щъркел;väikemarabu;Marabout chevelu;;;indiai marabu;;Bangau tongtong;;;;വയൽനായ്ക്കൻ;;;;;นกตะกรุม
2526;CICONIIFORMES;Ciconiidae;Leptoptilos dubius;Greater Adjutant;marabú caragroc;大秃鹳;大禿鸛;asamski marabu;marabu indický;Adjudant;Indische Maraboe;hindia marabuo;assaminmarabu;Marabout argala;Argalamarabu;Marabù asiatico maggiore;オオハゲコウ;indinis marabu;storadjutant;marabut indyjski;marabu-grande;marabu-grande;Индийский марабу;Asamski marabu;marabu veľký;Marabú argala;större adjutantstork;Sarı Yüzlü Marabu;аргала;;;;Голям индийски щъркел;india marabu (argala);Marabout argala;;;sárgafejű marabu;;Bangau besar;;;;;;;;;นกตะกราม
2527;CICONIIFORMES;Ciconiidae;Mycteria americana;Wood Stork;tàntal americà;黑头鹮鹳;林鸛;gologlava roda;nesyt americký;Amerikansk Skovstork;Kaalkopooievaar;amerika cikonio;amerikaniibishaikara;Tantale d’Amérique;Waldstorch;Cicogna americana;アメリカトキコウ;amerikinis gandrėnas;amerikastork;dławigad amerykański;cabeça-seca;cegonha-americana;Американский клювач;Američka šumska roda;myktéria holokrká;Tántalo americano;amerikansk ibisstork;Kara Boyunlu Orman Leyleği;міктерія;;;;Горски щъркел;muda-toonekurg;Tantale d'Amérique;;;erdei gólya;;;;meža stārķis;;;;;;;
2528;CICONIIFORMES;Ciconiidae;Mycteria ibis;Yellow-billed Stork;tàntal africà;黄嘴鹮鹳;黃嘴鸛;žutokljuna roda;nesyt africký;Afrikansk Skovstork;Afrikaanse Nimmerzat;afrika cikonio;afrikaniibishaikara;Tantale ibis;Nimmersatt;Tantalo africano;アフリカトキコウ;afrikinis gandrėnas;gulnebbstork;dławigad afrykański;tântalo-africano;cegonha-de-bico-amarelo;Африканский клювач;Žutokljuna roda;myktéria africká;Tántalo africano;afrikansk ibisstork;Sarı Gagalı Leylek;лелека-тантал африканський;Nimmersat (Geelbekooievaar);اللقلق أصفر المنقار;;Жълтоклюн щъркел;roosa-toonekurg;Tantale ibis;;חסידן ורוד;rózsás tantalusz;Skógstorkur;;;dzeltenknābja stārķis, āmrijstārķis;;;Fiskesnjunháigir;;;afriški nesit;
2529;CICONIIFORMES;Ciconiidae;Mycteria leucocephala;Painted Stork;tàntal de l'Índia;彩鹳;彩鸛〔白頭鸛〕;šarena roda;nesyt indický;Indisk Skovstork;Indische Nimmerzat;hindia cikonio;aasianiibishaikara;Tantale indien;Buntstorch;Cicogna pittata;インドトキコウ;indinis gandrėnas;beltestork;dławigad indyjski;tântalo-indiano;cegonha-pintada;Расписной клювач;Beloglava roda;myktéria lysohlavá;Tántalo indio;indisk ibisstork;Alaca Leylek;лелека-тантал індійський;;;;Индийски щъркел;ehis-toonekurg;Tantale indien;;;hindu gólya;;;;raibais stārķis;;വർണ്ണക്കൊക്ക്;;;;;นกกาบบัว
2530;CICONIIFORMES;Ciconiidae;Mycteria cinerea;Milky Stork;tàntal blanc;白鹮鹳;灰鸛;crvenolica roda;nesyt bílý;Mangrovestork;Maleise Nimmerzat;lakta cikonio;sundaniibishaikara;Tantale blanc;Milchstorch;Cicogna lattea;シロトキコウ;balkšvasis gandrėnas;malaystork;dławigad malajski;tântalo-branco;cegonha-malaia;Серый клювач;Crvenolika roda;myktéria alabastrová;Tántalo malayo;indonesisk ibisstork;Akça Leylek;лелека-тантал білий;;;;Сив щъркел;rand-toonekurg;Tantale blanc;;;szumátrai tantalusz;;Bangau bluwok;;;;;;;;;นกกระสาปากเหลือง
2531;CICONIIFORMES;Ciconiidae;Jabiru mycteria;Jabiru;jabirú americà;裸颈鹳;裸頸鸛;jabiru;čáp jabiru;Jabiru;Jabiroe;amerika jabiruo;jabiru;Jabiru d’Amérique;Jabirustorch;Jabirù;ズグロハゲコウ;žabiru;jabirustork;żabiru amerykański;tuiuiú;jabiru-americano;Ябиру;Jabiru roda;jabiru veľký;Jabirú americano;jabirustork;Amerika Jabirusu;ябіру неотропічний;;;;Джабиру;jabiru-toonekurg;Jabiru d'Amérique;;;jabiru;;;;jabiru;;;;;;;
2532;CICONIIFORMES;Ciconiidae;Ephippiorhynchus senegalensis;Saddle-billed Stork;jabirú africà;鞍嘴鹳;凹嘴鸛;šarenokljuna roda;čáp sedlatý;Sadelnæb;Zadelbekooievaar;afrika jabiruo;afrikansatulahaikara;Jabiru d’Afrique;Sattelstorch;Cicogna sellata;クラハシコウ;afrikinis gandras;sadelnebbstork;żabiru afrykański;jabiru-africano;jabiru-africano;Африканский седлоклюв;Sedlokljuna roda;bocianovec sedlatý;Jabirú africano;sadelnäbbsstork;Afrika Jabirusu;ябіру сенегальський;Saalbekooievaar;;;Седлоклюн щъркел;sadulnokk-toonekurg;Jabiru d'Afrique;;;nyerges gólya;;;;;;;;;;;
2533;CICONIIFORMES;Ciconiidae;Ephippiorhynchus asiaticus;Black-necked Stork;jabirú asiàtic;黑颈鹳;黑頸鸛;crnovrata roda;čáp černokrký;Sorthalset Stork;Zwarthalsooievaar;azia jabiruo;aasiansatulahaikara;Jabiru d’Asie;Riesenstorch;Cicogna collonero;セイタカコウ;azijinis gandras;svarthalsstork;żabiru czerwononogi;jabiru-oriental;jabiru-asiático;Азиатский седлоклюв;Crnovrata roda;bocianovec červenonohý;Jabirú asiático;svarthalsad stork;Asya Jabirusu;ябіру азійський;;;;Черноврат щъркел;pugal-toonekurg;Jabiru d'Asie;;;feketenyakú gólya;;Bangau leher-hitam;;;;;;;;;นกกระสาคอดำ
2534;CICONIIFORMES;Ciconiidae;Ciconia abdimii;Abdim's Stork;cigonya d'Abdim;白腹鹳;白腹鸛;plavolica roda;čáp simbil;Abdimstork;Abdims Ooievaar;blankventra cikonio;savannihaikara;Cigogne d’Abdim;Abdimstorch;Cicogna di Abdim;アオハシコウ;baltapilvis gandras;blåmaskestork;bocian białobrzuchy;cegonha-de-barriga-branca;cegonha-de-abdim;Дождевой аист;Abdimova roda;bocian Abdimov;Cigüeña de Abdim;blåkindad stork;Abdim Leyleği;лелека африканський;Kleinswartooievaar (Blouwangooievaar);;;Абдимов щъркел;savanni-toonekurg;Cigogne d'Abdim;;חסידת אבדים;Abdim-gólya;;;;lietus stārķis;;;;;;;
2535;CICONIIFORMES;Ciconiidae;Ciconia microscelis;African Woolly-necked Stork;;非洲白颈鹳;;crnolica roda;čáp černočelý;Sydafrikansk Uldhalsstork;Afrikaanse Bisschopsooievaar;nigrafrunta cikonio;;Cigogne à pattes noires;Afrika-Wollhalsstorch;;;;dunhalsstork;bocian czarnoczelny;cegonha-episcopal-africana;cegonha-episcopal;Белошейный аист;;bocian čiernočelý;Cigüeña lanuda africana;afrikansk ullhalsstork;;лелека тропічний;;;;;;Cigogne à pattes noires;;;;;;;;;;;;;;
2536;CICONIIFORMES;Ciconiidae;Ciconia episcopus;Asian Woolly-necked Stork;cigonya collblanca asiàtica;白颈鹳;白頸鸛;bjelovrata roda;čáp bělokrký;Uldhalsstork;Aziatische Bisschopsooievaar;nigraĉapa cikonio;piispahaikara;Cigogne épiscopale;Wollhalsstorch;Cicogna lanosa;エンビコウ;baltakaklis gandras;ullhalsstork;bocian białoszyi;cegonha-episcopal-asiática;cegonha-lanuda;Аист-епископ;Vunasta roda;bocian bielokrký;Cigüeña lanuda asiática;asiatisk ullhalsstork;Keşiş Leyleği;лелека білошиїй;Wolnekooievaar;;;Белогуш щъркел;villkael-toonekurg;Cigogne épiscopale;;;gyapjasnyakú gólya;;Bangau sandang-lawe;;bīskapstārķis;;കന്യാസ്ത്രീകൊക്ക്;;لک ‌لک گردن ‌سفید;;;นกกระสาคอขาว
2537;CICONIIFORMES;Ciconiidae;Ciconia stormi;Storm's Stork;cigonya de Storm;黄脸鹳;史東氏鸛;crnokapa roda;čáp pestrý;Sundastork;Soendaooievaar;orokulvitra cikonio;borneonpiispahaikara;Cigogne de Storm;Höckerstorch;Cicogna di Storm;スンダエンビコウ;rytinis gandras;svartkronestork;bocian garbaty;cegonha-de-cara-amarela;cegonha-de-faces-amarelas;Малайский аист;Crnokapa roda;bocian okuliarnatý;Cigüeña de Storm;sundastork;Storm Leyleği;лелека малазійський;;;;Щъркел на Сторм;sunda toonekurg;Cigogne de Storm;;;pápaszemes gólya;;Bangau storm;;;;;;;;;นกกระสาคอขาวปากแดง
2538;CICONIIFORMES;Ciconiidae;Ciconia nigra;Black Stork;cigonya negra;黑鹳;黑鸛;crna roda;čáp černý;Sort Stork;Zwarte Ooievaar;nigra cikonio;mustahaikara;Cigogne noire;Schwarzstorch;Cicogna nera;ナベコウ;juodasis gandras;svartstork;bocian czarny;cegonha-preta;cegonha-preta;Чёрный аист;Crna roda;bocian čierny;Cigüeña negra;svart stork;Kara Leylek;лелека чорний;Grootswartooievaar;لقلق اسود;Чорны бусел;Черен щъркел;must-toonekurg;Cigogne noire;Μαύρος Πελαργός;חסידה שחורה;fekete gólya;Kolstorkur;;먹황새;melnais stārķis;црн штрк;കരിമ്പകം;Čáhppesháigir;لک ‌لک سیاه;Barză neagră;črna štorklja;นกกระสาดำ
2539;CICONIIFORMES;Ciconiidae;Ciconia maguari;Maguari Stork;cigonya sud-americana;黑尾鹳;黑尾鸛;južnoamerička roda;čáp jihoamerický;Maguaristork;Magoeari;sudamerika cikonio;amerikankattohaikara;Cigogne maguari;Maguaristorch;Cicogna maguari;シロエンビコウ;Pietų Amerikos gandras;maguaristork;bocian sinodzioby;maguari;cegonha-maguari;Американский аист;Maguari roda;bocian maguari;Cigüeña maguari;maguaristork;Boyalı Keşiş Leyleği;магуарі;;;;Американски щъркел;roo-toonekurg;Cigogne maguari;;;maguari gólya;;;;;;;;;;;
2540;CICONIIFORMES;Ciconiidae;Ciconia ciconia;White Stork;cigonya blanca;白鹳;白鸛;bijela roda;čáp bílý;Hvid Stork;Ooievaar;blanka cikonio;kattohaikara;Cigogne blanche;Weißstorch;Cicogna bianca;シュバシコウ;baltasis gandras;stork;bocian biały;cegonha-branca;cegonha-branca;Белый аист;Bela roda;bocian biely;Cigüeña blanca;vit stork;Leylek;лелека білий;Witooievaar;لقلق ابيض;Белы бусел;Бял щъркел;valge-toonekurg;Cigogne blanche;Λευκός Πελαργός;חסידה לבנה;fehér gólya;Hvítstorkur;;;baltais stārķis;штрк;വെൺ‍ബകം;Stohpoháigir;لک ‌لک سفید;Barză albă;bela štorklja;นกกระสาขาว
2541;CICONIIFORMES;Ciconiidae;Ciconia boyciana;Oriental Stork;cigonya oriental;东方白鹳;東方白鸛;crnokljuna roda;čáp východní;Manchurisk Stork;Zwartsnavelooievaar;orienta cikonio;idänkattohaikara;Cigogne orientale;Schwarzschnabelstorch;Cicogna orientale;コウノトリ;kininis gandras;svartnebbstork;bocian czarnodzioby;cegonha-oriental;cegonha-oriental;Дальневосточный аист;Crnokljuna roda;bocian čiernozobý;Cigüeña oriental;amurstork;Oriyental Leylek;лелека далекосхідний;;;;Черноклюн щъркел;ida-toonekurg;Cigogne orientale;;חסידה מזרחית;feketecsőrű gólya;;;황새;melnknābja stārķis;;;;;;;
2542;SULIFORMES;Fregatidae;Fregata aquila;Ascension Frigatebird;fregata de l'illa de l'Ascensió;阿岛军舰鸟;亞欣森軍艦鳥;asensionski brzan;fregatka ascensionská;Ascension Fregatfugl;Ascensionfregatvogel;agla fregato;atlantinfregattilintu;Frégate aigle-de-mer;Adlerfregattvogel;Fregata aquila;メスグログンカンドリ;erelinė fregata;ascensionfregattfugl;fregata orla;rabiforcado-de-ascensão;fragata-de-ascensão;Вознесенский фрегат;Fregata sa ostrva Asension;fregata orlia;Rabihorcado de Ascensión;ascensionfregattfågel;Asensiyon Fregatkuşu;фрегат вознесенський;;;;Орлова фрегата;ascensioni fregattlind;Frégate aigle-de-mer;;פריגט אסנשן;ascensioni fregattmadár;;;;Debesbraukšanas salas fregatputns;;;;;;;
2543;SULIFORMES;Fregatidae;Fregata magnificens;Magnificent Frigatebird;fregata magnífica;华丽军舰鸟;麗色軍艦鳥;veliki brzan;fregatka vznešená;Pragtfregatfugl;Amerikaanse Fregatvogel;grandioza fregato;keisarifregattilintu;Frégate superbe;Prachtfregattvogel;Fregata magnifica;アメリカグンカンドリ;puošnioji fregata;praktfregattfugl;fregata wielka;rabiforcado-magnífico;fragata-magnífica;Великолепный фрегат;Velika fregata;fregata vznešená;Rabihorcado magnífico;praktfregattfågel;Muhteşem Fregatkuşu;фрегат карибський;;;;Великолепна фрегата;keiser-fregattlind;Frégate superbe;;פריגט הדור;pompás fregattmadár;Freigátufugl;;;greznais fregatputns;;;Fregáhttaloddi;;;lepa bumica;
2544;SULIFORMES;Fregatidae;Fregata ariel;Lesser Frigatebird;fregata petita;白斑军舰鸟;小軍艦鳥〔白斑軍艦鳥〕;mali brzan;fregatka malá;Lille Fregatfugl;Kleine Fregatvogel;eta fregato;pikkufregattilintu;Frégate ariel;Arielfregattvogel;Fregata ariel;コグンカンドリ;mažoji fregata;småfregattfugl;fregata mała;rabiforcado-pequeno;fragata-pequena;Фрегат-ариель;Mala fregata;fregata bieloboká;Rabihorcado chico;mindre fregattfågel;Küçük Fregatkuşu;фрегат-арієль;Kleinfregatvoël;فرقاط صغير;;Малка фрегата;väike-fregattlind;Frégate ariel;;פריגט קטן;kis fregattmadár;;Cikalang kecil;군함조;mazais fregatputns;;ചിന്ന കടൽക്കള്ളൻ;;;;;นกโจรสลัดเล็ก
2545;SULIFORMES;Fregatidae;Fregata minor;Great Frigatebird;fregata gran;黑腹军舰鸟;大軍艦鳥〔黑腹軍艦鳥〕;smeđokrili brzan;fregatka obecná;Stor Fregatfugl;Grote Fregatvogel;granda fregato;kuningasfregattilintu;Frégate du Pacifique;Bindenfregattvogel;Fregata maggiore;オオグンカンドリ;didžioji fregata;storfregattfugl;fregata średnia;rabiforcado-grande;fragata-grande;Большой фрегат;Džinovska fregata;fregata ebenová;Rabihorcado grande;större fregattfågel;Büyük Fregatkuşu;фрегат тихоокеанський;Grootfregatvoël;;;Голяма фрегата;kuning-fregattlind;Frégate du Pacifique;;פריגט גדול;szalagos fregattmadár;;Cikalang besar;큰군함조;lielais fregatputns;;വലിയ കടൽക്കള്ളൻ;;;;;นกโจรสลัดใหญ่
2546;SULIFORMES;Fregatidae;Fregata andrewsi;Christmas Frigatebird;fregata de l'Illa Christmas;白腹军舰鸟;白腹軍艦鳥;bjelotrbi brzan;fregatka vánoční;Juleø Fregatfugl;Witbuikfregatvogel;kristnaskinsula fregato;joulusaarenfregattilintu;Frégate d’Andrews;Weißbauch-Fregattvogel;Fregata di Christmas;シロハラグンカンドリ;Kalėdų salos fregata;christmasfregattfugl;fregata białobrzucha;rabiforcado-de-natal;fragata-da-ilha-de-natal;Рождественский фрегат;Belotrba fregata;fregata bielobruchá;Rabihorcado de la Christmas;julöfregattfågel;Christmas Adası Fregatkuşu;фрегат малазійський;;;;Белокоремна фрегата;jõulusaare fregattlind;Frégate d'Andrews;;פריגט חג המולד;fehérhasú fregattmadár;;Cikalang christmas;;;;ക്രിസ്തുമസ് കടൽക്കള്ളൻ;;;;;นกโจรสลัดเกาะคริสต์มาส
2547;SULIFORMES;Sulidae;Papasula abbotti;Abbott's Booby;mascarell d'Abbott;粉嘴鲣鸟;粉嘴鰹鳥;crnokrila bluna;terej černokřídlý;Juleø Sule;Abbotts Gent;kristnaskinsula sulo;joulusaarensuula;Fou d’Abbott;Abbotttölpel;Sula di Abbott;モモグロカツオドリ;Aboto padūkėlis;christmassule;głuptak czarnoskrzydły;alcatraz-do-índico;alcatraz-de-abbott;Олуша Эбботта;Crnokrila bluna;sula čiernokrídla;Piquero de Abbott;julösula;Abbott Sümsüğü;сула чорнокрила;;;;Рибояд на Абот;metssuula;Fou d'Abbott;;;falakó szula;;Angsa-batu christmas;;;;;;;;;
2548;SULIFORMES;Sulidae;Morus bassanus;Northern Gannet;mascarell atlàntic;北鲣鸟;北方鰹鳥〔憨鰹鳥〕;bluna;terej bílý;Sule;Jan-van-gent;norda sulo;suula;Fou de Bassan;Basstölpel;Sula;シロカツオドリ;šiaurinis padūkėlis;havsule;głuptak (zwyczajny);alcatraz-do-norte;ganso-patola-do-atlântico;Северная олуша;Obična bluna;sula biela;Alcatraz atlántico;havssula;Sümsük;сула атлантична;;أطيش شمالي;Паўночная олуша;Бял рибояд;suula;Fou de Bassan;Σούλα (του Βορρά);סולה מצויה;szula;Súla;;;ziemeļu sulla;;;Suvlá;;;strmoglavec;
2549;SULIFORMES;Sulidae;Morus capensis;Cape Gannet;mascarell del Cap;南非鲣鸟;南非鰹鳥;kapska bluna;terej jihoafrický;Kapsule;Kaapse Jan-van-gent;kaba sulo;kapinsuula;Fou du Cap;Kaptölpel;Sula del Capo;ケープシロカツオドリ;kapinis padūkėlis;kappsule;głuptak przylądkowy;alcatraz-do-cabo;ganso-patola-do-cabo;Капская олуша;Kapska bluna;sula tmavochvostá;Alcatraz de El Cabo;kapsula;Kap Sümsüğü;сула африканська;Witmalgas;;;Капски рибояд;kapi suula;Fou du Cap;;סולת הכף;fokföldi szula;Höfðasúla;;;Kāpzemes sulla;;;Káhpasuvlá;;;kapski strmoglavec;
